,0.2,0.4,0.6,0.8,1,1.2
462,-292356,-11100,-50054,-239226,37882,7662
463,-293190,-11582,-51228,-240466,38798,7422
464,-294032,-11750,-50724,-240342,37992,7424
465,-295032,-11444,-50346,-241426,38466,7644
466,-295264,-11532,-50120,-242054,38528,6894
467,-296128,-11322,-50178,-243878,38282,6372
468,-296698,-11440,-50476,-244606,38678,6004
469,-297322,-11422,-50246,-245998,39242,6070
470,-298574,-11434,-49768,-247174,39064,6394
471,-300034,-11780,-50272,-247618,38774,6350
472,-301006,-11948,-50474,-247838,39334,5948
473,-301676,-12456,-51702,-248666,39410,6150
474,-303158,-12174,-51298,-249806,38636,5846
475,-303954,-12672,-51010,-250678,38234,5394
476,-305670,-13022,-51078,-251734,37428,6322
477,-306154,-12944,-51494,-252946,37354,6024
478,-307318,-12680,-51934,-253810,37428,6312
479,-308436,-12206,-50972,-255382,37348,6430
480,-308628,-12146,-51576,-256066,36862,6330
481,-308908,-11672,-51818,-256498,36292,6224
482,-310010,-11348,-52084,-257562,36306,6444
483,-311444,-11518,-52300,-258330,36804,6122
484,-312272,-11084,-52796,-259058,36252,6430
485,-312944,-10694,-52788,-259762,36866,6774
486,-314524,-10574,-52854,-259978,36448,6460
487,-315116,-10460,-52826,-260262,36584,6238
488,-315848,-10678,-53142,-260990,36408,6418
489,-316732,-11088,-52910,-262114,36378,6800
490,-317616,-11944,-52576,-263274,37012,6542
491,-318536,-12018,-52588,-263710,37452,6796
492,-319004,-11504,-52574,-264694,37562,7132
493,-319496,-11062,-53008,-265010,37728,7452
494,-320204,-10754,-53038,-266022,37238,7362
495,-320712,-10500,-52904,-267262,37040,7528
496,-320924,-10864,-52426,-268018,37760,7752
497,-321408,-11230,-52222,-268766,37724,7696
498,-322028,-11318,-53166,-269082,37644,7932
499,-322852,-11460,-52938,-269742,37894,7970
500,-323738,-11260,-53894,-270770,38460,7754
501,-324314,-10636,-53782,-272102,38088,7588
502,-324654,-10720,-53476,-273606,38066,7686
503,-325602,-10994,-53034,-274186,38886,7216
504,-326602,-11774,-53156,-274502,39008,8024
505,-327442,-11962,-52960,-275126,38844,7334
506,-327754,-12196,-53534,-276666,38490,7978
507,-328682,-12276,-54012,-277842,38458,7398
508,-329922,-12160,-53754,-278842,38974,7434
509,-331302,-11838,-53992,-279182,39328,7098
510,-332718,-11442,-54486,-280274,38640,6880
511,-333174,-11622,-54672,-280698,38778,6812
512,-334714,-11532,-55148,-282382,38984,6526
513,-335854,-11282,-54848,-283070,39622,6520
514,-335798,-10756,-55210,-283922,40204,6348
515,-336398,-11220,-54272,-283910,39842,6706
516,-337878,-11034,-53960,-285242,39498,6818
