,0.2,0.4,0.6,0.8,1,1.2
496,492,10750,-14568,-16308,-17012,17388
497,138,10634,-14336,-16338,-16894,17458
498,210,10730,-14730,-16272,-16706,17568
499,836,11074,-14546,-15974,-16594,17086
500,646,11056,-14544,-15936,-16588,17158
501,648,11216,-14532,-15860,-16852,17486
502,694,11238,-14176,-15442,-16448,17964
503,30,10566,-14464,-16040,-16820,17368
504,-152,10322,-14616,-16318,-17140,17564
505,-200,10362,-14146,-16040,-16854,17250
506,-408,10336,-14472,-16206,-16736,17130
507,-292,10594,-14712,-16416,-16790,17352
508,270,11004,-14718,-16124,-16482,17530
509,184,10968,-14270,-15958,-16648,17746
510,-70,10992,-14628,-15900,-17084,17268
511,220,10882,-14816,-15970,-17016,17230
512,458,10954,-14460,-16186,-16942,17396
513,2,10426,-14678,-16238,-17036,17200
514,262,10472,-14294,-15874,-16528,17024
515,124,10370,-14252,-15682,-16798,17230
516,554,10576,-14160,-15696,-16690,17558
517,420,10920,-14702,-15996,-16752,17652
518,350,10964,-14808,-16044,-17026,17570
519,222,10690,-14568,-16292,-16946,17730
520,-58,10504,-14140,-16502,-17070,17624
521,124,10514,-14556,-16500,-16560,17788
522,196,10792,-14512,-16220,-16626,17446
523,240,10762,-14858,-16402,-17038,17330
524,124,10584,-14748,-16016,-17046,17510
525,-304,10488,-15014,-16108,-16934,17198
526,-352,10638,-14604,-16044,-16852,17046
527,312,11202,-14366,-15878,-16616,17626
528,68,10818,-14532,-15812,-16748,17370
529,-162,10476,-14488,-15904,-16822,17878
530,244,10322,-14354,-15804,-16740,17434
531,-60,10936,-14700,-16168,-16792,17388
532,-414,11384,-14936,-16462,-16864,17434
533,-262,11228,-14840,-16194,-16920,17466
534,-214,11088,-14768,-16108,-16650,17622
535,-180,11316,-14432,-16004,-16748,17522
536,-660,11088,-14654,-16234,-17158,17264
537,-556,10846,-14744,-16046,-17140,17462
538,-508,10794,-14752,-15980,-17012,17336
539,-16,11392,-14560,-16050,-16898,17380
540,-90,10958,-14468,-15992,-17024,17472
541,164,10976,-14660,-15770,-16882,17688
542,128,10834,-14962,-16088,-16812,17622
543,458,11012,-14666,-16108,-16920,17694
544,480,11182,-14658,-16130,-16568,17478
545,846,11054,-14460,-16114,-16730,17314
546,764,11056,-14298,-16014,-16806,17616
547,1044,10930,-14382,-16110,-16742,17422
548,966,10736,-14438,-15976,-16824,17438
549,738,10752,-14692,-16050,-16848,17330
550,1160,11054,-14576,-15958,-16360,17438
551,772,10948,-14386,-16202,-16594,17394
552,634,10974,-14452,-16274,-17080,17612
553,344,10498,-14678,-16036,-17092,17360
554,-16,10410,-14940,-16424,-17066,17206
555,276,10556,-14386,-16288,-17118,17710
556,626,11174,-14142,-16204,-16902,17944
557,-284,10652,-14420,-16172,-16952,17528
558,-18,10894,-14184,-15524,-16756,17264
559,324,11018,-14274,-15840,-16612,17160
560,518,10978,-14554,-16420,-16516,17404
561,740,11324,-14564,-16050,-16558,17478
562,712,11136,-14384,-15686,-16764,17334
563,950,11110,-14448,-15958,-16812,17518
564,818,11142,-14366,-16092,-16838,17542
565,694,10936,-14546,-16120,-17092,17356
566,156,10688,-14650,-16360,-16772,17314
567,-64,10250,-14916,-16072,-16766,17428
568,280,10756,-14618,-15876,-16996,17540
569,290,10970,-14590,-15838,-17036,17492
570,20,10870,-14922,-16276,-17246,17492
571,70,10660,-15000,-16472,-17266,17284
572,-148,10782,-14590,-16146,-16974,17072
573,-82,10690,-14576,-16180,-16544,17264
574,-58,10696,-14584,-15872,-16654,17324
575,202,11078,-14326,-15862,-16734,17514
576,128,10808,-14504,-16008,-16892,17386
577,-90,10696,-14764,-16074,-17098,17596
578,-52,11012,-14424,-16020,-16814,17492
579,-350,11086,-14456,-16116,-17030,17372
580,-46,10876,-14768,-16358,-16840,17258
581,350,11148,-14804,-15926,-16992,17382
582,-34,10614,-14670,-15862,-16942,17006
583,-82,11022,-14412,-15802,-16608,17604
584,-70,11012,-14484,-15912,-16812,17654
585,38,11170,-14532,-16110,-16960,17428
586,0,11074,-14444,-15952,-17096,17378
587,166,11064,-14270,-15790,-17046,17662
588,-296,10452,-14276,-16276,-17164,17254
589,-8,10430,-14152,-16058,-17006,17634
590,-188,10248,-14360,-16354,-17108,17496
591,-204,10470,-14588,-16096,-16940,17614
592,-508,10108,-14602,-16362,-17168,17208
593,-650,10560,-14654,-16188,-17136,17270
594,-64,11030,-14374,-15918,-16972,17354
595,-142,10838,-14444,-16192,-17086,17296
596,-198,11004,-14628,-16358,-16848,17474
597,-330,11168,-14348,-16038,-16894,17112
598,-218,11130,-14558,-16462,-16886,17280
599,-434,10898,-14614,-15672,-17006,16944
600,-366,10792,-14844,-16216,-17244,17602
601,-138,10996,-14834,-16312,-17032,17470
602,-136,11118,-14582,-16236,-17044,17298
603,-292,10962,-14474,-15918,-16994,17514
604,-512,10918,-14530,-16058,-16984,17212
605,-458,10760,-14848,-16226,-17102,17110
606,-514,10596,-14890,-16302,-17146,17240
607,-408,10762,-14552,-16322,-17258,17202
608,320,11058,-14416,-15640,-16966,17400
609,278,11222,-14312,-16000,-16976,17280
610,394,11570,-14670,-16304,-17220,17646
611,76,10502,-15164,-16132,-16788,17292
612,578,11060,-14588,-16140,-16510,17222
613,368,11030,-14426,-16128,-16638,17310
614,80,10608,-14438,-16064,-16674,17284
